id;name;ca;town;status;type;numVictims;lat;long
2706;Fosa en el Puerto de los Alamillos;Andalucía;Grazalema;NO INTERVENIDA;;1;36.75975;-5.3670697
2707;Fosa en el paraje Fuente de la Ladera;Andalucía;Grazalema;NO INTERVENIDA;;1;36.75975;-5.3670697
2708;Fosa en el paraje Hoyo del Tarazón;Andalucía;Grazalema;NO INTERVENIDA;;2;36.75975;-5.3670697
2709;Fosa en el paraje El Calvario;Andalucía;Prado del Rey;DESAPARECIDA;;0;36.7892;-5.5550947
2710;Fosa en la entrada de Finca Los Clavijos;Andalucía;Prado del Rey;NO INTERVENIDA;;0;36.7892;-5.5550947
2711;Fosa en finca próxima a la ermita de la Virgen de las Montañas;Andalucía;Villamartín;NO INTERVENIDA;;1;36.86076;-5.641586
2712;Fosa en Villanueva de Tapia;Andalucía;Villanueva de Tapia;EXHUMADA TOTAL;;29;37.18509;-4.332975
2713;Fosa en el Cementerio antiguo de Riogordo;Andalucía;Riogordo;NO INTERVENIDA;;0;36.917072;-4.2922974
2714;Fosa en el Cementerio de Alameda;Andalucía;Alameda;NO INTERVENIDA;;0;37.20981;-4.6565557
2715;Fosa en el cementerio de Jimera de Libar ;Andalucía;Jimera de Líbar;EXHUMADA PARCIAL;;0;36.653;-5.272078
2716;Fosa en el cementerio de Almachar;Andalucía;Almáchar;NO INTERVENIDA;;0;36.8102;-4.214786
2717;Fosa de La Legua en Gumiel de Izán ;Castilla y León;Gumiel de Hizán;EXHUMADA TOTAL;;0;41.77405;-3.687611
2718;Fosa en cementerio de Recesende;Galicia;Baralla;DESAPARECIDA;GUERRILLERA;2;42.895092;-7.2475524
2719;Fosa en cementerio de Villanueva de la Concepción;Andalucía;Antequera;NO INTERVENIDA;;0;36.928364;-4.5258665
2720;Fosas en el Cementerio de Toro;Castilla y León;Toro;NO INTERVENIDA;;0;41.52425;-5.3921833
2721;Fosa del Pozo Grajero en Lario;Castilla y León;Burón;EXHUMADA TOTAL;FUSILAMIENTO;8;43.039707;-5.0933447
2722;Fosa común de Joarilla de las Matas;Castilla y León;Joarilla de las Matas;EXHUMADA TOTAL;FUSILAMIENTO;0;42.28906;-5.177144
2723;Fosa en la viña del Tío Morillas;Castilla-La Mancha;Toba, La;EXHUMADA TOTAL;;1;41.00553;-2.9824028
2724;Fosas en el paraje Los Arenales;Extremadura;Escurial;EXHUMADA TOTAL;FUSILAMIENTO;0;39.16932;-5.883225
2725;Fosa en el paraje Pozo de la Meregilda;Extremadura;Mirandilla;EXHUMADA TOTAL;FUSILAMIENTO;1;39.00315;-6.287486
2726;;;;;;1;0.0;0.0
2727;;;;;;1;0.0;0.0
2728;;;;;;1;0.0;0.0
2729;;;;;;1;0.0;0.0
2730;Fosa en el Cementerio de La Carriona;Principado de Asturias;Avilés;NO INTERVENIDA;;0;43.55783;-5.9217806
2731;Fosa en Villanueva de Valdueza ;Castilla y León;Ponferrada;EXHUMADA TOTAL;FUSILAMIENTO;1;42.489975;-6.5841722
2732;;;;;;1;0.0;0.0
2733;;;;;;1;0.0;0.0
2734;Fosa en cementerio de Santa Mariña de Lagostelle;Galicia;Guitiriz;NO INTERVENIDA;;0;43.18193;-7.8926
2735;Fosa en el paraje El Contadero;Castilla-La Mancha;Chillón;EXHUMADA TOTAL;FUSILAMIENTO;9;38.79726;-4.8630776
2736;Fosa en cementerio de San Pedro de Grandal;Galicia;Vilarmaior;EXHUMADA TOTAL;FUSILAMIENTO;0;43.35595;-8.128211
2737;Fosa 2 Monte de La Pedraja;Castilla y León;Villafranca Montes de Oca;EXHUMADA PARCIAL;;0;42.388123;-3.3079584
2738;Fosa en el paraje de Tablín;Castilla y León;Castrojeriz;EXHUMADA TOTAL;;1;42.28961;-4.135903
2739;Fosa en El Álamo;Andalucía;Madroño, El;EXHUMADA TOTAL;;2;37.634842;-6.4348083
2740;Fosa de Collao Torre;Principado de Asturias;Cabrales;NO INTERVENIDA;;2;43.316925;-4.8448
2741;Fosa en el cementerio de El Condado;Principado de Asturias;Laviana;NO INTERVENIDA;GUERRILLERA;7;43.24594;-5.561956
2742;;;;;;7;0.0;0.0
2743;;;;;;7;0.0;0.0
2744;;;;;;7;0.0;0.0
2745;;;;;;7;0.0;0.0
2746;;;;;;7;0.0;0.0
2747;;;;;;7;0.0;0.0
2748;;;;;;7;0.0;0.0
2749;;;;;;7;0.0;0.0
2750;;;;;;7;0.0;0.0
2751;;;;;;7;0.0;0.0
2752;;;;;;7;0.0;0.0
2753;;;;;;7;0.0;0.0
2754;;;;;;7;0.0;0.0
2755;;;;;;7;0.0;0.0
2756;;;;;;7;0.0;0.0
2757;;;;;;7;0.0;0.0
2758;;;;;;7;0.0;0.0
2759;;;;;;7;0.0;0.0
2760;;;;;;7;0.0;0.0
2761;;;;;;7;0.0;0.0
2762;;;;;;7;0.0;0.0
2763;;;;;;7;0.0;0.0
2764;;;;;;7;0.0;0.0
2765;;;;;;7;0.0;0.0
2766;;;;;;7;0.0;0.0
2767;;;;;;7;0.0;0.0
2768;;;;;;7;0.0;0.0
2769;;;;;;7;0.0;0.0
2770;;;;;;7;0.0;0.0
2771;;;;;;7;0.0;0.0
2772;;;;;;7;0.0;0.0
2773;;;;;;7;0.0;0.0
2774;;;;;;7;0.0;0.0
2775;;;;;;7;0.0;0.0
2776;;;;;;7;0.0;0.0
2777;Fosa en el Alto de la Mazorra;Castilla y León;Merindad de Sotoscueva;EXHUMADA TOTAL;;0;43.0289;-3.6259668
2778;;;;;;0;0.0;0.0
2779;;;;;;0;0.0;0.0
2780;;;;;;0;0.0;0.0
2781;;;;;;0;0.0;0.0
2782;;;;;;0;0.0;0.0
2783;;;;;;0;0.0;0.0
2784;;;;;;0;0.0;0.0
2785;;;;;;0;0.0;0.0
2786;;;;;;0;0.0;0.0
2787;;;;;;0;0.0;0.0
2788;;;;;;0;0.0;0.0
2789;;;;;;0;0.0;0.0
2790;Fosa destruida en terreno de labranza;Castilla y León;Villamediana;DESAPARECIDA;;0;42.05085;-4.3600163
2791;;;;;;0;0.0;0.0
2792;;;;;;0;0.0;0.0
2793;;;;;;0;0.0;0.0
2794;;;;;;0;0.0;0.0
2795;;;;;;0;0.0;0.0
2796;Fosa en talud de la carretera N-120;Castilla y León;Gordaliza del Pino;EXHUMADA TOTAL;;2;42.34482;-5.1572165
2797;;;;;;2;0.0;0.0
2798;;;;;;2;0.0;0.0
2799;;;;;;2;0.0;0.0
2800;;;;;;2;0.0;0.0
2801;;;;;;2;0.0;0.0
2802;Fosas junto al cementerio de Castuera ;Extremadura;Castuera;EXHUMADA TOTAL;;0;38.7227;-5.544086
2803;;;;;;0;0.0;0.0
2804;;;;;;0;0.0;0.0
2805;;;;;;0;0.0;0.0
2806;;;;;;0;0.0;0.0
2807;;;;;;0;0.0;0.0
2808;Fosa en cementerio de Villarramiel;Castilla y León;Villarramiel;EXHUMADA TOTAL;FUSILAMIENTO;1;42.0439;-4.9114113
2809;Fosa de Paralacuesta;Castilla y León;Merindad de Cuesta-Urria;EXHUMADA TOTAL;DESCONOCIDO;0;42.843628;-3.416675
2810;Fosa en finca La Parrilla;Extremadura;Santa Amalia;EXHUMADA TOTAL;FUSILAMIENTO;0;39.01255;-6.0088444
2811;Fosa en Acuartelamiento Primo de Rivera-BRIPAC;Comunidad de Madrid;Alcalá de Henares;EXHUMADA TOTAL;EJECUCION;0;40.48291;-3.3657415
